date,rtn
2011/11/25,-0.015151268
2011/12/2,-0.008251666
2011/12/9,-0.019416624
2011/12/16,-0.039841308
2011/12/23,-0.009055458
2011/12/30,-0.00243722
2012/1/6,-0.016513578
2012/1/13,0.036839674
2012/1/20,0.03266852
2012/2/3,0.004855131
2012/2/10,0.00921588
2012/2/17,0.002208462
2012/2/24,0.034379155
2012/3/2,0.008597449
2012/3/9,-0.008665494
2012/3/16,-0.014337397
2012/3/23,-0.023220988
2012/3/30,-0.037621457
2012/4/6,0.019156521
2012/4/13,0.022551845
2012/4/20,0.020018193
2012/4/27,-0.004391682
2012/5/4,0.02297717
2012/5/11,-0.023533595
2012/5/18,-0.021295443
2012/5/25,-0.004688691
2012/6/1,0.016946695
2012/6/8,-0.039528803
2012/6/15,0.011073067
2012/6/21,-0.020130166
2012/6/29,-0.015802186
2012/7/6,-0.000832545
2012/7/13,-0.017092704
2012/7/20,-0.007926035
2012/7/27,-0.018557321
2012/8/3,0.001891796
2012/8/10,0.016746679
2012/8/17,-0.0251772
2012/8/24,-0.010833016
2012/8/31,-0.021539977
2012/9/7,0.038440442
2012/9/14,-0.001841656
2012/9/21,-0.046825146
2012/9/28,0.028925449
2012/10/12,0.008953793
2012/10/19,0.011041316
2012/10/26,-0.029608951
2012/11/2,0.024306194
2012/11/9,-0.02292394
2012/11/16,-0.026615071
2012/11/23,0.006263582
2012/11/30,-0.023590358
2012/12/7,0.040416664
2012/12/14,0.0421859
2012/12/21,0.001247696
2012/12/28,0.036452626
2013/1/4,0.019396455
2013/1/11,-0.015042356
2013/1/18,0.032490538
2013/1/25,-0.011182369
2013/2/1,0.054241412
2013/2/8,0.005516747
2013/2/22,-0.049830747
2013/3/1,0.019403776
2013/3/8,-0.017483976
2013/3/15,-0.017494418
2013/3/22,0.021655057
2013/3/29,-0.040162694
2013/4/3,-0.005076754
2013/4/12,-0.008355052
2013/4/19,0.017012049
2013/4/26,-0.030179869
2013/5/3,0.012586261
2013/5/10,0.018567899
2013/5/17,0.015912644
2013/5/24,0.002477578
2013/5/31,0.005256784
2013/6/7,-0.039769017
2013/6/14,-0.022346085
2013/6/21,-0.042010023
2013/6/28,-0.046346906
2013/7/5,0.014044464
2013/7/12,0.015957597
2013/7/19,-0.023233408
2013/7/26,0.009093111
2013/8/2,0.009191534
2013/8/9,0.011180391
2013/8/16,0.007871058
2013/8/23,-0.005329261
2013/8/30,0.019695331
2013/9/6,0.019635986
2013/9/13,0.043983041
2013/9/18,-0.020039207
2013/9/27,-0.014625671
2013/9/30,0.006753908
2013/10/11,0.02429522
2013/10/18,-0.015543766
2013/10/25,-0.028117741
2013/11/1,0.007755758
2013/11/8,-0.020413385
2013/11/15,0.01400321
2013/11/22,0.027955715
2013/11/29,0.010924557
2013/12/6,0.007449763
2013/12/13,-0.018512284
2013/12/20,-0.052001627
2013/12/27,0.007862832
2014/1/3,-0.008658431
2014/1/10,-0.034100277
2014/1/17,-0.004155549
2014/1/24,0.024361316
2014/1/30,-0.01042658
2014/2/7,0.005598433
2014/2/14,0.034303884
2014/2/21,-0.001019023
2014/2/28,-0.027527431
2014/3/7,0.000780709
2014/3/14,-0.026375602
2014/3/21,0.021363324
2014/3/28,-0.002888983
2014/4/4,0.008349674
2014/4/11,0.034238061
2014/4/18,-0.015512019
2014/4/25,-0.029622411
2014/4/30,-0.005001885
2014/5/9,-0.007540854
2014/5/16,0.007612902
2014/5/23,0.003971862
2014/5/30,0.002279456
2014/6/6,-0.004549341
2014/6/13,0.01987984
2014/6/20,-0.021497933
2014/6/27,0.004841533
2014/7/4,0.01116498
2014/7/11,-0.006046284
2014/7/18,0.005896713
2014/7/25,0.032278076
2014/8/1,0.027223448
2014/8/8,0.004165562
2014/8/15,0.014615885
2014/8/22,0.006302362
2014/8/29,-0.010593162
2014/9/5,0.048090625
2014/9/12,0.002369064
2014/9/19,-0.00107221
2014/9/26,0.007811175
2014/9/30,0.006856314
2014/10/10,0.004503628
2014/10/17,-0.01414695
2014/10/24,-0.016756848
2014/10/31,0.049941155
2014/11/7,-0.000829622
2014/11/14,0.024772785
2014/11/21,0.00320887
2014/11/28,0.075880947
2014/12/5,0.09073485
2014/12/12,0.000179039
2014/12/19,0.056383218
2014/12/26,0.015642018
2014/12/31,0.024115882
2015/1/9,0.015562985
2015/1/16,0.027346127
2015/1/23,-0.007351415
2015/1/30,-0.04310276
2015/2/6,-0.042784198
2015/2/13,0.040746216
2015/2/17,0.01335651
2015/2/27,0.019337183
2015/3/6,-0.021100105
2015/3/13,0.039836549
2015/3/20,0.069956698
2015/3/27,0.020190566
2015/4/3,0.045761109
2015/4/10,0.043150742
2015/4/17,0.060820948
2015/4/24,0.024512279
2015/4/30,0.010858544
2015/5/8,-0.054534711
2015/5/15,0.024141802
2015/5/22,0.07786529
2015/5/29,-0.009893342
2015/6/5,0.085440383
2015/6/12,0.028119966
2015/6/19,-0.142908575
2015/6/26,-0.065871594
2015/7/3,-0.128596128
